entity,date,day_of_week,is_weekend,siem_events_total,siem_unique_destination_addr,siem_unique_source_process,siem_unique_event_class,siem_unique_category,siem_unique_name,siem_unique_hours,siem_night_share,siem_business_share,pan_events_total,pan_unique_destination_addr,pan_unique_event_class,pan_unique_category,pan_unique_name,pan_unique_hours,pan_night_share,pan_business_share,pan_share_of_all_events,siem_unique_users,pan_unique_users
tmtp-000085,2025-12-11,3,0,2656,4,40,3,1,3,24,0.1159638554216867,0.6746987951807228,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-12,4,0,2892,5,37,4,1,4,24,0.1026970954356846,0.7005532503457814,0,0,0,0,0,0,0.0,0.0,0.0,5,0
tmtp-000085,2025-12-13,5,1,1767,3,15,4,1,4,24,0.1810979060554612,0.5387662705149971,0,0,0,0,0,0,0.0,0.0,0.0,3,0
tmtp-000085,2025-12-14,6,1,2884,5,37,4,1,4,24,0.1078363384188626,0.7156726768377254,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-15,0,0,2627,5,29,4,1,4,24,0.1092500951655881,0.670346402740769,0,0,0,0,0,0,0.0,0.0,0.0,5,0
tmtp-000085,2025-12-16,1,0,2599,6,51,6,1,10,24,0.1258176221623701,0.6287033474413236,0,0,0,0,0,0,0.0,0.0,0.0,6,0
tmtp-000085,2025-12-17,2,0,2032,5,34,4,1,4,24,0.1747047244094488,0.6126968503937008,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-18,3,0,2022,5,30,4,1,4,24,0.1394658753709199,0.642433234421365,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-19,4,0,2090,5,29,4,1,4,24,0.1397129186602871,0.6392344497607656,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-20,5,1,2106,5,35,4,1,5,24,0.1562203228869895,0.6049382716049383,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-21,6,1,1858,5,29,4,1,4,24,0.1743810548977395,0.5861141011840689,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-22,0,0,2186,5,31,4,1,4,24,0.141811527904849,0.6619396157365051,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-23,1,0,2107,5,33,4,1,4,24,0.1238728049359278,0.6554342667299478,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-24,2,0,2181,5,31,4,1,4,24,0.09353507565337,0.6597890875745072,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-25,3,0,2328,5,31,4,1,4,24,0.1168384879725085,0.6533505154639175,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-26,4,0,2374,5,33,4,1,4,24,0.10530749789385,0.6672283066554339,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-27,5,1,2121,5,31,4,1,4,24,0.115040075436115,0.6402640264026402,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-28,6,1,1470,4,14,4,1,4,24,0.1482993197278911,0.5523809523809524,0,0,0,0,0,0,0.0,0.0,0.0,3,0
tmtp-000085,2025-12-29,0,0,2844,6,32,4,1,4,24,0.0770042194092827,0.5777074542897328,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-30,1,0,2371,6,33,4,1,5,24,0.0991142977646562,0.6697595951075496,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000085,2025-12-31,2,0,2137,5,30,4,1,4,24,0.1094992980814225,0.6663547028544688,0,0,0,0,0,0,0.0,0.0,0.0,4,0
tmtp-000112,2025-12-01,0,0,9286,20,49,13,1,22,24,0.1482877449924617,0.5601981477493,3799,321,3,0,1,24,0.0879178731245064,0.6925506712292708,0.2903324417271685,8,1
tmtp-000112,2025-12-02,1,0,10140,21,70,15,2,31,24,0.2226824457593688,0.4720907297830374,1510,112,3,0,1,22,0.6185430463576159,0.0847682119205298,0.1296137339055794,9,1
tmtp-000112,2025-12-03,2,0,5332,23,77,14,2,21,24,0.1485371342835709,0.542198049512378,1554,148,3,0,1,22,0.3648648648648648,0.2689832689832689,0.2256752831832704,7,1
tmtp-000112,2025-12-04,3,0,7569,21,49,15,1,26,24,0.1738670894437838,0.4350640771568239,3487,370,2,0,1,24,0.203039862345856,0.4445081732147978,0.3153943560057887,7,1
tmtp-000112,2025-12-05,4,0,11256,20,47,16,2,21,24,0.1681769722814499,0.5407782515991472,3657,322,2,0,1,24,0.183210281651627,0.6048673776319388,0.2452222892778113,6,1
tmtp-000112,2025-12-06,5,1,7520,17,25,12,1,12,24,0.3136968085106383,0.3134308510638298,2212,187,3,0,1,24,0.2956600361663652,0.3367992766726944,0.2272914097821619,4,1
tmtp-000112,2025-12-07,6,1,6747,16,22,9,1,9,24,0.2709352304728027,0.318808359270787,1705,159,3,0,1,24,0.2504398826979472,0.4181818181818181,0.2017274017983909,4,1
tmtp-000112,2025-12-08,0,0,8490,19,48,12,1,17,24,0.2259128386336867,0.5204946996466431,4291,440,3,0,1,24,0.0843626194360289,0.7613609881146586,0.3357327282685236,6,1
tmtp-000112,2025-12-09,1,0,7987,18,49,11,1,13,24,0.2870915237260548,0.3692249906097408,2377,215,3,0,1,24,0.2355910811947833,0.338662179217501,0.229351601698186,6,1
tmtp-000112,2025-12-10,2,0,11185,18,64,17,2,25,24,0.1898971837282074,0.4939651318730442,2799,279,3,0,1,24,0.3072525902107895,0.4072883172561629,0.2001573226544622,8,1
tmtp-000112,2025-12-11,3,0,11591,24,55,23,2,29,24,0.2050729013890087,0.4137693037701665,3403,341,3,0,1,24,0.3593887746106377,0.3191301792535997,0.2269574496465252,8,1
tmtp-000112,2025-12-12,4,0,11075,18,54,13,2,16,24,0.2760270880361173,0.4269074492099323,5382,382,3,0,1,24,0.2474916387959866,0.5102192493496841,0.3270340888375767,8,1
tmtp-000112,2025-12-13,5,1,5118,14,21,9,1,9,24,0.29073856975381,0.3634232121922626,2279,160,3,0,1,24,0.2193944712593242,0.4251864853005704,0.3080978775179127,4,1
tmtp-000112,2025-12-14,6,1,7856,20,52,16,1,19,24,0.1588594704684317,0.5047097759674134,2882,218,3,0,1,24,0.2175572519083969,0.4146426092990978,0.2683926243248277,7,1
tmtp-000112,2025-12-15,0,0,9821,18,44,10,2,12,24,0.2095509622238061,0.4719478668160065,6070,428,2,0,1,24,0.1214168039538715,0.7481054365733114,0.3819772198099553,4,1
tmtp-000112,2025-12-16,1,0,12415,17,53,9,1,9,24,0.211437776882803,0.5361256544502618,4707,432,1,0,1,24,0.1098364138517102,0.7641810070108349,0.274909473192384,4,1
tmtp-000112,2025-12-17,2,0,13110,18,56,14,1,18,24,0.1524790236460717,0.531350114416476,14236,730,1,0,1,24,0.0205816240516999,0.7099606631076145,0.5205880201857676,6,1
